DOEID,LRGSTATE,TYPEHUQ,HD65,CD65,KWH,BTUEL,CUFEETNG,BTUNG,GALLONFO,BTUFO,GALLONLP,BTULP,GALLONKR,BTUKER,BTUELCDR,BTUELDWH,BTUELFZZ,BTUELRFG,BTUELCOL,BTUELWTH,BTUELSPH,BTUELAPL,BTUNGAPL,BTUNGWTH,BTUNGSPH,BTUFOAPL,BTUFOSPH,BTUFOWTH,BTULPAPL,BTULPSPH,BTULPWTH,BTUWOOD,ALTHUQ,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,AGEHHMEM1,AGEHHMEM2,AGEHHMEM3,AGEHHMEM4,AGEHHMEM5,AGEHHMEM6,AGEHHMEM7,AGEHHMEM8,AGEHHMEM9,AGEHHMEM10,AGEHHMEM11,AGEHHMEM12,AGEHHMEMY,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY
1,3,2,1231,3281,13459,45922,365,37559,999999,9999999,999999,9999999,999999,9999999,0,376,3265,4222,29630,0,0,12070,9481,18266,9812,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,3,1,1,1989,0,0,250,1739,1739,250,0,0,0,250,0,0,1739,0,1739,250,0,0,0,250,0,0,1739,0,0,0,1,1,55,2,0,0,2,55,99,99,99,99,99,99,99,99,99,99,99,55,1,1,0,0,8
2,2,2,1663,1123,13051,44529,227,23320,999999,9999999,999999,9999999,999999,9999999,4261,712,0,4092,10040,0,1356,29041,3780,13082,6458,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,6,3,1,1320,0,660,0,660,660,660,0,0,0,0,0,660,660,0,1320,660,0,0,0,0,0,660,660,0,0,0,1,1,26,1,1,0,4,26,36,7,99,99,99,99,99,99,99,99,99,1,1,0,1,1,13
3,0,2,5221,1286,19464,66411,682,70178,999999,9999999,999999,9999999,999999,9999999,3414,999,0,19846,16657,0,0,29908,0,20784,49394,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,4,1,1,3075,789,0,400,1886,1886,1189,0,789,0,400,0,0,1886,0,2675,1189,0,789,0,400,0,0,1886,0,0,0,1,1,63,1,1,0,2,63,99,99,99,99,99,99,99,99,99,99,99,62,1,1,0,0,10
4,0,3,5261,667,28635,97703,999999,9999999,999999,9999999,999999,9999999,999999,9999999,9833,0,7807,5272,0,31876,13724,46831,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,1,2,0,899,0,0,0,899,899,0,0,0,0,0,0,0,899,0,0,899,0,0,0,0,0,0,0,899,0,0,0,2,43,2,1,1,8,43,34,19,15,13,11,10,99,99,99,99,99,3,1,0,0,1,6
5,0,2,4392,1238,28658,97781,686,70589,999999,9999999,999999,9999999,999999,9999999,5121,855,0,12335,15836,23262,0,46348,0,0,70589,9999999,9999999,9999999,9999999,9999999,9999999,15000,9,1,8,3,1,2176,0,444,400,1332,1332,844,0,0,0,400,0,444,1332,0,1776,844,0,0,0,400,0,444,1332,0,0,0,0,1,39,2,1,0,5,39,85,39,9,99,99,99,99,99,99,99,99,3,1,0,0,0,23
6,0,2,5162,1236,13212,45079,1340,137865,999999,9999999,999999,9999999,999999,9999999,4030,673,0,2914,4753,0,0,37412,0,45711,92154,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,5,1,1,1069,0,0,0,1069,1069,0,0,0,0,0,0,0,1069,0,891,1069,0,0,0,0,0,0,0,1069,0,0,1,1,40,2,0,1,8,40,27,23,18,17,8,1,99,99,99,99,99,1,1,0,0,0,12
7,4,2,392,3759,7194,24547,999999,9999999,999999,9999999,999999,9999999,999999,9999999,3198,0,0,6262,0,6971,0,11314,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,6,3,0,3360,0,0,400,2960,0,3360,0,0,0,400,0,0,0,2960,0,3360,0,0,0,400,0,0,0,2960,0,0,1,1,60,0,1,0,2,60,99,99,99,99,99,99,99,99,99,99,99,59,1,1,0,0,24
8,0,2,3275,2086,19878,67824,999999,9999999,999999,9999999,980,89523,999999,9999999,2576,0,0,4125,7840,19694,2029,34136,9999999,9999999,9999999,9999999,9999999,9999999,0,89523,0,9999999,9,1,5,4,1,748,0,0,0,748,748,0,0,0,0,0,0,0,748,0,299,748,0,0,0,0,0,0,0,748,0,0,0,1,37,0,0,0,4,37,58,16,99,99,99,99,99,99,99,99,99,8,1,0,0,0,17
9,4,2,540,3278,20718,70690,305,31411,999999,9999999,999999,9999999,999999,9999999,0,548,3754,3003,31999,0,2692,32996,6707,24704,0,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,7,9,3,1,5040,0,0,400,4640,4640,400,0,0,0,400,0,0,4640,0,4640,400,0,0,0,400,0,0,4640,0,0,0,0,2,50,2,1,0,4,50,41,11,99,99,99,99,99,99,99,99,99,8,1,0,0,0,23
10,0,3,4409,1718,7688,26232,999999,9999999,999999,9999999,999999,9999999,999999,9999999,2054,343,0,2112,5495,4483,6841,7301,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,4,7,3,0,2549,0,0,0,2549,2549,0,0,0,0,0,0,0,2549,0,2549,0,0,0,0,0,0,0,2549,0,0,0,0,2,39,2,0,0,1,39,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,23
11,0,5,3277,1511,11415,38948,999999,9999999,999999,9999999,999999,9999999,999999,9999999,2947,492,0,2391,6380,11139,7379,11659,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,6,1,1,1725,0,0,0,1725,1725,0,0,0,0,0,0,0,1725,0,1725,0,0,0,0,0,0,0,1725,0,0,0,0,1,25,2,1,1,3,25,30,99,99,99,99,99,99,99,99,99,99,1,1,0,0,0,7
12,0,2,5267,1145,12686,43285,1827,187998,999999,9999999,999999,9999999,999999,9999999,2977,497,0,5395,11114,0,0,26776,17895,67997,102106,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,6,2,1,4500,0,1350,0,3150,3150,1350,0,0,0,0,0,1350,3150,0,4500,1350,0,0,0,0,0,1350,3150,0,0,0,1,1,36,1,1,0,5,36,36,65,5,99,99,99,99,99,99,99,99,5,1,1,0,0,17
13,4,5,1306,2130,6438,21966,999999,9999999,999999,9999999,999999,9999999,999999,9999999,0,0,0,1923,9248,3477,2687,4631,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,8,1,1,832,0,0,0,832,832,0,0,0,0,0,0,0,832,0,832,0,0,0,0,0,0,0,832,0,0,0,1,1,61,1,0,0,1,61,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,1,3
14,4,2,552,3425,27890,95161,999999,9999999,999999,9999999,999999,9999999,999999,9999999,6933,634,0,11523,30659,10136,2277,40566,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,7,5,1,0,2294,0,0,400,1894,1894,400,0,0,0,400,0,0,1894,0,1894,400,0,0,0,400,0,0,1894,0,0,0,0,1,56,0,1,0,3,56,56,99,99,99,99,99,99,99,99,99,99,24,1,0,0,0,12
15,2,3,1097,853,7424,25331,999999,9999999,999999,9999999,999999,9999999,999999,9999999,0,0,0,2414,0,11460,0,11457,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,4,6,1,0,1740,0,0,0,1740,0,1740,0,0,0,0,0,0,0,1740,0,1740,0,0,0,0,0,0,0,1740,0,0,1,2,28,2,1,1,5,28,27,19,15,99,99,99,99,99,99,99,99,11,1,0,0,0,23
16,0,2,3429,2137,23908,81574,999999,9999999,999999,9999999,999999,9999999,999999,9999999,5303,886,0,8218,23129,11557,12927,25743,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,15000,9,3,9,4,0,1566,0,0,0,1566,1566,0,0,0,0,0,0,0,1566,0,1566,0,0,0,0,0,0,0,1566,0,0,0,1,1,49,2,1,0,2,49,99,99,99,99,99,99,99,99,99,99,99,56,1,0,0,0,18
17,0,4,5356,1055,4327,14764,878,90382,999999,9999999,999999,9999999,999999,9999999,2500,0,0,4502,2026,0,0,8236,3729,18721,67932,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,7,4,1,1,429,0,0,0,429,429,0,0,0,0,0,0,0,429,0,286,429,0,0,0,0,0,0,0,429,0,0,0,1,59,1,0,0,1,59,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,1,9
18,2,2,1078,701,6288,21455,826,84995,999999,9999999,999999,9999999,999999,9999999,0,484,0,2837,0,0,747,17871,22324,43009,19662,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,4,2,1,1,3283,0,0,400,2883,2883,400,0,0,0,400,0,0,2883,0,0,3283,0,0,0,400,0,0,0,2883,0,0,0,1,54,2,1,0,2,54,99,99,99,99,99,99,99,99,99,99,99,57,1,0,0,0,24
19,2,3,2040,99,1951,6657,448,46099,999999,9999999,999999,9999999,999999,9999999,1984,331,0,847,0,0,0,5810,0,20638,25461,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,4,5,1,1,2060,0,553,400,1107,1107,953,0,0,0,400,0,553,1107,0,0,2060,0,0,0,400,0,553,0,1107,0,0,1,2,82,1,0,0,1,82,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,10
20,0,2,5590,1275,17256,58878,505,51928,999999,9999999,999999,9999999,999999,9999999,5117,0,0,4914,7205,21417,0,25342,6391,0,45537,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,2,2,1,1950,975,0,250,725,725,1225,0,975,0,250,0,0,725,0,340,1950,0,975,0,250,0,0,0,725,0,0,1,1,27,1,1,0,4,27,20,8,99,99,99,99,99,99,99,99,99,5,0,0,1,1,4
21,0,2,5402,1314,13441,45861,1548,159289,999999,9999999,999999,9999999,999999,9999999,0,999,0,12010,12706,0,0,21145,19667,37889,101733,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,4,8,3,1,5334,2100,0,400,2834,4409,925,1575,525,0,400,0,0,2834,0,4934,925,1575,525,0,400,0,0,2834,0,1,0,1,2,79,1,1,0,2,79,99,99,99,99,99,99,99,99,99,99,99,67,1,1,0,0,24
22,2,2,2067,1808,2254,7691,354,36427,999999,9999999,999999,9999999,999999,9999999,0,0,0,2293,0,0,844,4554,5912,15008,15507,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,2,4,1,1360,0,0,0,1360,1020,340,0,0,0,0,0,0,1020,340,0,1360,0,0,0,0,0,0,0,1360,0,0,1,2,48,1,0,1,2,48,99,99,99,99,99,99,99,99,99,99,99,86,0,1,1,1,4
23,2,2,2148,227,6971,23785,724,74500,999999,9999999,999999,9999999,999999,9999999,0,0,0,2947,621,0,0,20217,18784,31692,24024,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,4,3,1,1,1967,0,0,0,1967,1967,0,0,0,0,0,0,0,1967,0,1967,0,0,0,0,0,0,0,1967,0,0,0,1,2,49,2,1,0,7,49,70,45,16,13,8,99,99,99,99,99,99,6,1,1,0,0,24
24,0,2,4597,1143,22210,75781,511,52582,999999,9999999,999999,9999999,999999,9999999,5043,842,7310,13553,8154,14164,0,39910,5424,0,47158,9999999,9999999,9999999,9999999,9999999,9999999,5000,9,1,4,1,1,5440,2320,0,400,2720,1088,4352,0,2320,0,400,0,0,1088,1632,1805,4466,0,2320,0,400,0,0,974,1746,0,0,1,2,84,1,1,0,2,84,99,99,99,99,99,99,99,99,99,99,99,84,0,1,0,0,18
25,0,2,5545,1032,18021,61488,1661,170917,999999,9999999,999999,9999999,999999,9999999,0,630,0,12408,12365,0,0,36715,23159,44536,103222,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,2,3,1,5164,966,1023,400,2775,3499,1665,725,242,0,400,0,1023,2775,0,4764,2389,0,966,0,400,0,1023,2775,0,0,0,1,2,37,2,1,0,4,37,37,5,99,99,99,99,99,99,99,99,99,2,1,0,0,0,24
26,0,2,3274,2087,11962,40814,502,51704,999999,9999999,999999,9999999,999999,9999999,3545,592,0,2564,17092,0,0,21158,0,25722,25982,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,5,3,1,1302,0,0,400,902,902,400,0,0,0,400,0,0,902,0,902,400,0,0,0,400,0,0,902,0,0,0,1,2,61,0,0,0,4,61,48,33,99,99,99,99,99,99,99,99,99,4,1,0,0,0,14
27,2,2,2592,1495,12024,41024,458,47128,999999,9999999,999999,9999999,999999,9999999,0,527,0,7896,7073,0,0,26055,9434,18175,19519,9999999,9999999,9999999,9999999,9999999,9999999,5000,9,4,7,1,1,2460,0,0,400,2060,2060,400,0,0,0,400,0,0,2060,0,2060,400,0,0,0,400,0,0,2060,0,0,0,0,2,51,2,1,0,2,51,99,99,99,99,99,99,99,99,99,99,99,50,1,0,0,0,18
28,0,1,7266,840,12713,43377,1004,103312,999999,9999999,999999,9999999,999999,9999999,5247,0,5999,13844,2386,5603,0,21544,5761,0,97551,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,6,3,1,1750,0,0,0,1750,1167,583,0,0,0,0,0,0,1167,583,584,1166,0,0,0,0,0,0,584,1166,0,0,1,1,68,1,0,0,1,68,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,6
29,0,2,6298,862,18488,63081,405,41675,999999,9999999,999999,9999999,999999,9999999,7547,690,0,3353,8189,20111,0,31428,0,0,41675,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,9,12,3,1,3596,1598,0,400,1598,3196,400,1598,0,0,400,0,0,1598,0,3196,400,1598,0,0,400,0,0,1598,0,0,0,1,1,25,1,1,0,6,25,28,8,6,2,99,99,99,99,99,99,99,1,1,0,0,0,11
30,0,2,4504,988,6030,20574,701,72133,999999,9999999,489,44616,999999,9999999,0,0,0,1413,0,0,0,19161,6776,27765,37592,9999999,9999999,9999999,0,0,44616,9999999,9,4,7,1,1,1280,0,0,0,1280,1280,0,0,0,0,0,0,0,1280,0,0,1280,0,0,0,0,0,0,0,1280,0,0,1,1,36,1,1,1,6,36,39,15,13,9,99,99,99,99,99,99,99,4,0,0,0,1,8
31,0,2,6319,949,7558,25788,999999,9999999,999999,9999999,999999,9999999,999999,9999999,2293,383,0,4199,4337,3534,6626,7092,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,4,2,1,2060,754,0,250,1056,1810,250,754,0,0,250,0,0,1056,0,1810,1004,0,754,0,250,0,0,1056,0,0,0,1,1,60,1,0,0,1,60,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,8
32,0,5,5153,1305,3997,13638,999999,9999999,999999,9999999,999999,9999999,999999,9999999,0,0,0,1187,2122,3235,3219,3875,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,7,3,1,1058,0,0,0,1058,1058,0,0,0,0,0,0,0,1058,0,529,1058,0,0,0,0,0,0,0,1058,0,0,0,1,44,2,0,0,3,44,16,99,99,99,99,99,99,99,99,99,99,14,1,0,1,0,4
33,0,2,7818,671,8591,29314,375,38560,999999,9999999,999999,9999999,999999,9999999,0,694,4748,1772,5179,0,0,22363,11668,0,26892,9999999,9999999,9999999,9999999,9999999,9999999,240000,9,2,11,4,1,6138,2046,0,400,3692,5738,400,2046,0,0,400,0,0,3692,0,5738,400,2046,0,0,400,0,0,3692,0,0,0,0,1,59,1,1,0,2,59,99,99,99,99,99,99,99,99,99,99,99,59,1,1,0,0,17
34,0,2,5317,1179,26737,91227,999999,9999999,3153,437290,69,6268,999999,9999999,4083,1195,20739,11086,4857,0,4118,71166,9999999,9999999,9999999,0,308004,129286,6268,0,0,9999999,9,3,3,3,1,5516,1278,1080,400,2758,2758,2758,0,1278,0,400,0,1080,2758,0,1279,5516,0,1278,0,400,0,1080,0,2758,0,0,1,1,51,2,1,0,4,51,51,21,99,99,99,99,99,99,99,99,99,16,1,0,0,0,18
35,0,2,5440,944,10518,35887,998,102694,999999,9999999,999999,9999999,999999,9999999,0,606,0,6180,0,0,2144,27563,9070,33409,60215,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,4,3,1,2460,0,459,400,1601,1601,859,0,0,0,400,0,459,1601,0,0,2460,0,0,0,400,0,459,0,1601,0,0,0,1,37,2,1,0,4,37,29,13,99,99,99,99,99,99,99,99,99,5,1,0,0,0,24
36,2,2,1369,271,6423,21915,499,51347,999999,9999999,999999,9999999,999999,9999999,0,0,0,5274,0,0,0,16641,14040,22987,14320,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,4,1,2,1,1082,0,0,0,1082,1082,0,0,0,0,0,0,0,1082,0,0,1082,0,0,0,0,0,0,0,1082,0,0,0,2,41,2,0,0,3,41,11,99,99,99,99,99,99,99,99,99,99,8,1,0,0,0,24
37,3,2,1859,3018,24102,82236,999999,9999999,999999,9999999,999999,9999999,999999,9999999,3134,0,3583,4857,26916,13679,3213,33571,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,40000,9,1,6,1,0,2500,0,0,400,2100,2100,400,0,0,0,400,0,0,2100,0,2100,400,0,0,0,400,0,0,2100,0,1,0,0,2,41,2,1,0,4,41,36,13,99,99,99,99,99,99,99,99,99,11,1,0,0,0,14
38,0,5,7129,511,15017,51238,999999,9999999,999999,9999999,999999,9999999,999999,9999999,4609,770,0,3927,1335,10046,15496,20434,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,12,1,0,1460,0,0,0,1460,1460,0,0,0,0,0,0,0,1460,0,487,1460,0,0,0,0,0,0,0,1460,0,0,0,1,31,2,0,0,2,31,99,99,99,99,99,99,99,99,99,99,99,4,1,0,0,0,14
39,2,2,1256,1632,9455,32260,698,71824,999999,9999999,999999,9999999,999999,9999999,0,0,0,1277,11094,0,0,19889,18880,31230,21714,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,4,4,1,1,1250,0,0,0,1250,1250,0,0,0,0,0,0,0,1250,0,1250,0,0,0,0,0,0,0,1250,0,0,0,0,2,44,2,1,0,4,44,45,13,99,99,99,99,99,99,99,99,99,10,1,0,0,0,13
40,2,2,1706,1416,6141,20953,465,47849,999999,9999999,999999,9999999,999999,9999999,0,0,3220,3872,0,0,0,17081,12611,20351,14887,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,4,6,2,1,2352,0,0,400,1952,1115,1237,0,0,0,400,0,0,1115,837,0,2352,0,0,0,400,0,0,0,1952,0,0,0,1,52,2,1,0,2,52,99,99,99,99,99,99,99,99,99,99,99,52,1,0,0,0,23
41,0,2,3011,2172,20702,70635,999999,9999999,999999,9999999,614,56103,999999,9999999,4804,802,6963,7819,22757,0,0,40059,9999999,9999999,9999999,9999999,9999999,9999999,0,38171,17932,9999999,9,1,9,4,0,7757,0,2484,0,5273,5273,2484,0,0,0,0,0,2484,5273,0,7757,2484,0,0,0,0,0,2484,5273,0,0,0,1,2,53,1,0,0,2,53,99,99,99,99,99,99,99,99,99,99,99,14,0,1,0,0,17
42,2,2,2120,1387,6593,22495,246,25313,999999,9999999,999999,9999999,999999,9999999,0,0,5602,3711,4677,0,0,14107,0,11132,14181,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,4,5,1,1,1397,0,0,0,1397,279,1118,0,0,0,0,0,0,279,1118,838,1397,0,0,0,0,0,0,0,1397,0,0,0,2,26,0,0,0,2,26,99,99,99,99,99,99,99,99,99,99,99,23,1,0,0,0,6
43,0,2,5788,900,11846,40419,999999,9999999,549,76139,1256,114681,999999,9999999,2189,641,0,3944,2415,0,0,34060,9999999,9999999,9999999,0,76139,0,61368,0,53313,5000,9,2,4,2,0,5208,1736,1736,0,1736,2170,3038,434,1302,0,0,0,1736,1736,0,744,5208,0,1736,0,0,0,1736,0,1736,1,0,0,1,47,2,1,0,4,47,47,16,99,99,99,99,99,99,99,99,99,13,1,0,0,0,16
44,0,5,5760,923,3308,11287,65,6689,999999,9999999,999999,9999999,999999,9999999,0,0,0,6438,0,0,0,4849,307,584,5798,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,1,1,1,637,0,0,0,637,637,0,0,0,0,0,0,0,637,0,0,637,0,0,0,0,0,0,0,637,0,0,1,2,79,1,0,0,1,79,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,4
45,0,3,5658,1139,14408,49160,999999,9999999,896,124266,999999,9999999,999999,9999999,0,739,0,7192,17946,0,2633,21389,9999999,9999999,9999999,0,86589,37677,9999999,9999999,9999999,9999999,9,6,1,1,1,5440,1360,0,0,4080,4760,680,680,680,0,0,0,0,4080,0,5440,1360,0,1360,0,0,0,0,4080,0,0,0,1,2,63,1,0,1,5,63,30,29,22,99,99,99,99,99,99,99,99,20,0,1,0,0,8
46,2,5,1093,865,11649,39744,999999,9999999,331,45958,999999,9999999,999999,9999999,5761,962,0,5267,0,8878,0,25599,9999999,9999999,9999999,0,45958,0,9999999,9999999,9999999,9999999,9,4,5,2,1,830,0,0,0,830,623,208,0,0,0,0,0,0,623,208,0,830,0,0,0,0,0,0,0,830,0,0,0,1,58,2,0,0,1,58,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,7
47,0,2,6202,721,5869,20025,87,8952,587,81480,999999,9999999,999999,9999999,3024,505,3457,2765,1174,0,0,16086,1517,7435,0,0,81480,0,9999999,9999999,9999999,9999999,9,2,1,1,1,4045,945,945,0,2155,2155,1890,0,945,0,0,0,945,2155,0,1156,4045,0,945,0,0,0,945,0,2155,0,0,0,2,53,2,1,0,2,53,99,99,99,99,99,99,99,99,99,99,99,46,1,0,0,0,23
48,1,5,4878,1283,4410,15047,715,73577,999999,9999999,999999,9999999,999999,9999999,0,0,0,3877,3580,0,0,7590,4652,8847,60078,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,1,1,1,1216,0,0,0,1216,1216,0,0,0,0,0,0,0,1216,0,1216,1216,0,0,0,0,0,0,0,1216,0,0,0,2,58,2,0,1,1,58,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,23
49,0,4,4338,1317,8117,27695,999999,9999999,999999,9999999,999999,9999999,999999,9999999,2544,425,0,2490,3204,5544,6043,10414,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,9,1,1,955,0,0,0,955,955,0,0,0,0,0,0,0,955,0,955,0,0,0,0,0,0,0,955,0,0,0,1,2,22,0,0,0,2,22,99,99,99,99,99,99,99,99,99,99,99,22,0,0,0,0,4
50,0,2,4627,1508,9281,31668,999999,9999999,999999,9999999,999999,9999999,999999,9999999,1256,368,2516,4166,4915,6181,5148,11258,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,6,2,0,2304,1152,0,400,752,1904,400,1152,0,0,400,0,0,752,0,1904,1552,0,1152,0,400,0,0,752,0,0,0,1,2,70,1,1,0,2,70,99,99,99,99,99,99,99,99,99,99,99,70,0,1,0,0,8
51,0,4,5870,560,4383,14955,731,75220,999999,9999999,999999,9999999,999999,9999999,2123,355,0,2079,0,0,5346,7530,14972,60248,0,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,6,2,1,594,0,0,0,594,594,0,0,0,0,0,0,0,594,0,0,594,0,0,0,0,0,0,0,594,0,0,1,1,26,1,0,1,4,26,10,4,99,99,99,99,99,99,99,99,99,2,0,0,1,1,5
52,2,2,912,1370,7659,26133,427,43938,999999,9999999,999999,9999999,999999,9999999,2643,441,0,2007,1837,0,0,22289,19847,18411,5680,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,4,7,1,1,2584,0,0,400,2184,1492,1092,0,0,400,0,0,0,1092,1092,746,1838,0,0,0,400,0,0,746,1438,0,0,0,2,31,2,1,1,4,31,31,12,99,99,99,99,99,99,99,99,99,2,1,0,0,0,24
53,0,2,4920,1559,5398,18418,146,15023,999999,9999999,999999,9999999,999999,9999999,2831,473,0,2911,4399,0,1578,9530,1128,4633,9262,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,2,1,1,1147,0,0,250,897,179,968,0,0,0,250,0,0,179,718,179,1147,0,0,0,250,0,0,0,897,0,0,1,2,56,2,1,0,2,56,99,99,99,99,99,99,99,99,99,99,99,52,1,0,0,0,7
54,2,5,1234,1090,1945,6636,188,19364,999999,9999999,999999,9999999,999999,9999999,0,0,0,2224,1117,0,0,3295,5808,11046,2510,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,4,6,1,1,524,0,0,0,524,0,524,0,0,0,0,0,0,0,524,524,524,0,0,0,0,0,0,0,524,0,0,1,1,27,1,1,1,2,27,99,99,99,99,99,99,99,99,99,99,99,28,1,0,0,0,6
55,0,5,2138,2185,14295,48775,999999,9999999,999999,9999999,999999,9999999,999999,9999999,0,0,0,3891,13786,9275,6332,15491,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,9,3,0,552,0,0,0,552,552,0,0,0,0,0,0,0,552,0,552,0,0,0,0,0,0,0,552,0,0,0,1,1,42,1,0,0,2,42,99,99,99,99,99,99,99,99,99,99,99,13,0,0,1,1,5
56,0,2,4972,1496,5485,18715,671,69046,999999,9999999,999999,9999999,999999,9999999,2206,0,3198,3186,4717,0,0,10812,3148,15804,50094,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,3,1,1,3839,563,1638,0,1638,1638,2201,0,563,0,0,0,1638,1638,0,3839,2201,0,563,0,0,0,1638,1638,0,0,0,1,2,73,1,0,0,1,73,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,10
57,0,2,7974,587,9377,31994,887,91272,999999,9999999,999999,9999999,999999,9999999,2841,475,4119,4403,1605,0,0,25986,6500,28288,56484,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,9,1,1,2736,1368,0,400,968,2302,434,1334,34,0,400,0,0,968,0,2336,434,1334,34,0,400,0,0,968,0,0,0,0,2,47,2,1,0,3,47,52,99,99,99,99,99,99,99,99,99,99,7,1,0,0,0,24
58,0,2,5571,900,28540,97378,1564,160936,999999,9999999,999999,9999999,999999,9999999,5386,899,0,9386,19544,0,3141,65307,30931,39266,90739,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,8,3,1,9243,3654,0,650,4939,8593,650,3654,0,0,650,0,0,4939,0,8593,4304,0,3654,0,650,0,0,4939,0,0,0,0,2,60,2,1,0,2,60,99,99,99,99,99,99,99,99,99,99,99,58,1,1,0,0,19
59,1,2,6602,898,10174,34714,1157,119055,999999,9999999,999999,9999999,999999,9999999,0,666,4559,4101,5474,0,0,25139,8486,29280,81289,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,3,2,1,4450,1375,850,400,1825,4050,400,1375,0,0,400,850,0,1825,0,4050,400,1375,0,0,400,850,0,1825,0,0,0,1,1,70,1,1,0,3,70,73,99,99,99,99,99,99,99,99,99,99,65,1,1,0,0,14
